Name,Lifetime[5],Nationality,Notable as,Notes[6]
Jacob Israël de Haan,1881–1924,Dutch,"Journalist, writer",G[7]
Minna Haapkylä,b. 1973,Finnish,Actor,B[8]
Fritz Haarmann,1879–1925,German,Serial killer,G[9]
Pekka Haavisto,b. 1958,Finnish,Politician,G[10]
Marilyn Hacker,b. 1942,American,Poet,L[11]
Saleem Haddad,b. 1983,Kuwaiti-British,"Author, aid worker",G[12]
Boze Hadleigh,b. 1954,American,Writer,G[13]
Hadrian,76–138 CE,Roman,"Military commander, emperor",G[14]
Adèle Haenel,b. 1989,French,Actor,L[15]
Jenny Hagel,b. ?[5],American,"Comedian, comedy writer",L[16]
Stein Erik Hagen,b. 1956,Norwegian,Businessperson,B[17]
Ted Haggard,b. 1956,American,Minister,B[18]
Patrick Haggerty,b. 1944,American,Country music singer (Lavender Country),G[19]
Peter Häggström,b. 1976,Swedish,Track and field athlete,G[20]
Kevin Hague,b. 1960,New Zealand,Politician,G[21]
Reynaldo Hahn,1875–1947,Venezuelan-French,"Composer, conductor, music critic, diarist",G[22]
Jörg Haider,1950–2008,Austrian,Politician,G[23]
Andrew Haigh,b. 1973,English,"Screenwriter, film director",G[24]
Leisha Hailey,b. 1971,American,"Actor, pop musician (The Murmurs, Uh Huh Her)",L[25]
William Haines,1900–1973,American,"Actor, interior designer",G[26]
Anja Hajduk,b. 1963,German,Politician,L[27]
Al-Hakam II,915–976,Umayyad Dynasty,Second Caliph of Cordoba,B[28]
Salim Halali,1920–2005,Algerian,Singer,G[29]
Ellen Day Hale,1855–1940,American,American Impressionist painter,L[30]
Rob Halford,b. 1951,English,Heavy metal vocalist and musician (Judas Priest),G[31]
Marc Hall,b. 1984,Canadian,LGBT rights activist who fought in court to bring his boyfriend to the prom,G[32][33]
Matthew Hall,b. 1970,Canadian,Figure skater,G[34]
Radclyffe Hall,1880–1943,English,"Author, poet",L[35]
Siri Hall Arnøy,b. 1978,Norwegian,Politician,L[36]
Todrick Hall,b. 1985,American,Entertainer,G[37]
Ian Hallard,b. 1974,English,"Actor, screenwriter",G[38]
David Hallberg,b. ?[5],American,Dancer,G[39]
Hanne Haller,1950–2005,German,"Singer, composer, writer, producer, sound engineer",L[40]
Richard Halliburton,1900–1939,American,"Author, traveler, adventurer",B[41]
Ursula Halligan,b. 1960,Irish,Political editor,L[42]
Kenneth Halliwell,1926–1967,English,Artist and murderer of playwright Joe Orton,G[43]
Augusto d'Halmar,1882–1950,Chilean,Writer,G[44]
David Halperin,b. 1952,American,"Writer, queer theorist",G[45]
Halsey,b. 1994,American,"Singer, songwriter",B[46]
Boris van der Ham,b. 1973,Dutch,Politician,G[47]
Maggi Hambling,b. 1945,English,Artist,L[48]
Ralph Hamelmann,b. 1967,Canadian,"Comic artist, promoter",G[49]
John C. Hamer,b. 1970,American-Canadian,"Historian, mapmaker",G[50]
Antony Hamilton,1952–1995,English-Australian,"Model, actor",G[51]
Arlan Hamilton,b. 1980,American,Investment fund founder,L[52]
Nancy Hamilton,1908–1985,American,"Actor, playwright, lyricist, director, producer",L[53]
Kathryn Hamm,b. ?[5],American,Writer,L[54]
Barbara Hammer,b. 1939,American,Experimental filmmaker,L[55]
Anja Hammerseng-Edin,b. 1983,Norwegian,Handball player,L[56]
Gro Hammerseng-Edin,b. 1980,Norwegian,Handball player,L[57]
Harmony Hammond,b. 1944,American,Artist,L[58]
James Henry Hammond,1807–1864,American,Attorney and politician,B[59]
David Hampton,1964–2003,American,Con artist and impostor,G[60]
Mabel Hampton,1902–1989,American,"Activist, dancer, philanthropist",L[61]
Nicola Hancock,b. 1995,Australian,Cricketer,L[62]
Klaus Händl,b. 1969,Austrian,"Actor, film director, writer",G[63]
Tyler Hanes,b. 1982,American,Actor,G[64]
Vincent Hanley,1954–1987,Irish,"DJ, TV personality",G[65]
Kathleen Hanna,b. 1968,American,"Rock musician (Bikini Kill, Le Tigre, The Julie Ruin), activist, writer",B[66]
Bretten Hannam,b. ?[5],Canadian,"Film director, screenwriter",G[67]
Lorraine Hansberry,1930–1965,American,Playwright,L[68]
Joseph Hansen,1923–2004,American,Mystery writer,G[69]
Alan Hansford,b. 1968,English,Cricketer,G[70]
Van Hansis,b. 1981,American,Actor,G[71]
Glen Hanson,b. ?[5],American,"Cartoonist, illustrator",G[72]
Yuval Noah Harari,b. 1976,Israeli,"Historian, author, educator",G[73]
Pernille Harder,b. 1992,Danish,Footballer,L[74]
Gilbert Harding,1907–1960,English,Radio personality,G[75]
David Hardt,b. ?[5],American,Politician,G[76]
Michael Hardwick,b. ?[5],American,Litigant in Bowers v. Hardwick case,G[77]
Michelle Hardwick,b. 1976,English,Actor,L[78]
G. H. Hardy,1877–1947,English,Mathematician,G[79]
John Hargreaves,1945–1996,Australian,Actor,G[80]
Brian Hargrove,b. 1956,American,TV writer/producer,G[81][82]
Johann Hari,b. 1979,British,Journalist,G[48]
Keith Haring,1958–1990,American,Artist,G[83]
Harmodius and Aristogeiton,d. 514 BC,Athenian,Lovers who died freeing Athens from tyrants,G[84]
A. Breeze Harper,b. ?[5],American,"Feminist, diversity strategist, author",B[85]
Blake Harper,b. 1968,Canadian,Pornographic actor,G[86]
Bob Harper,b. 1965,American,Personal trainer,G[87]
Curtis Harrington,1926–2007,American,Filmmaker,G[88]
Rex Harrington,b. 1962,Canadian,Ballet dancer,G[89]
Ashlyn Harris,b. 1985,American,Soccer player,L[90]
Barry Harris,b. ?[5],Canadian,"Pop singer-songwriter (Kon Kan), musician, composer, DJ",G[91]
Bertha Harris,1937–2005,American,Novelist,L[92]
Bruce Harris,b. 1951,American,"Lawyer, politician",G[93]
E. Lynn Harris,b. 1955,American,Author,G[94]
